사번,이름,채용경로,성별,나이,근속기간,출신대학,대학구분,학점,학력,입사년도,직군,팀구분,퇴직구분,매니저여부,잔업시간,성과점수,미사용.휴가일수,연봉,사업장위치,본인.인지능력,본인.인내력,본인.실행력,매니저.비전,매니저.소통,매니저.실행력,직원만족도,매출액.천원,불량건수
4300,조건섭,산학,남,44,36.3,경북대학교,국립,75.78,고졸,2013,제조생산,생산팀,No,Yes,315,43.6,4,120672259,미국,73,77,85,19,15,18,46,NA,6
4784,장규백,공채,남,26,8.3,서울시립대학교,기타,81.16,석사,2016,마케팅영업,기술팀,No,No,27,28.5,17,14428785,베트남,79,97,66,24,6,70,42.2,127724,NA
2826,조경복,공채,남,50,34.1,한양대학교,top8,75.11,석사,2016,제조생산,금융팀,No,No,466,52.9,13,63719620,대전(연구소),97,74,85,50,51,52,58.1,NA,17
4408,이경아,산학,여,32,16.5,부산대학교,수도권,88,석사,2011,마케팅영업,마케팅팀,No,No,10,65.7,1,79300348,미국,75,95,91,89,77,68,65.8,113408,NA
2769,강공명,공채,남,32,14.1,아주대학교,기타,84.22,고졸,2011,제조생산,기술팀,No,No,153,51.8,10,77771494,미국,91,93,99,9,15,5,44.8,NA,8
4756,장경혜,공채,여,29,12.9,연세대학교,top5,80.7,학사,2016,제조생산,마케팅팀,No,No,136,48.6,10,26001494,서울(본사),84,89,77,95,75,26,64.8,NA,3
590,임경율,공채,남,34,24.2,아주대학교,기타,80,석사,2011,경영지원,사업팀,No,Yes,255,60.8,7,97815661,베트남,93,71,77,16,72,38,49.4,NA,NA
1097,하규백,공채,남,26,3.9,명지대학교(용인캠퍼스),기타,75.78,학사,2016,연구개발,생산팀,No,No,50,36.5,3,69428785,중국,85,79,74,0,29,7,39.4,NA,NA
1286,한남훈,공채,남,32,14.2,연세대학교,top5,67.44,학사,2010,연구개발,마케팅팀,Yes,No,173,42.2,22,90901494,서울(본사),88,77,82,91,16,25,46.9,NA,NA
3625,여규건,공채,남,40,21.1,충남대학교,국립,81.78,학사,2015,제조생산,품질보증팀,No,No,288,54,11,53556772,대전(연구소),90,94,70,3,20,3,40.7,NA,10
3896,강강필,해외,남,46,26.5,서울여자대학교,수도권,68,학사,2015,연구개발,금융팀,No,No,90,45,19,121004481,미국,76,83,93,41,37,74,55,NA,NA
5513,정국태,인턴,남,32,7.9,한양대학교,top8,82.89,석사,2014,제조생산,생산팀,No,No,296,37.3,24,21401494,베트남,92,87,71,17,33,19,43.6,NA,25
2164,강가경,공채,여,39,19.3,인하대학교,기타,85.11,석사,2011,제조생산,기술팀,No,No,265,61.4,0,80039341,미국,92,97,66,27,10,52,48.2,NA,12
4495,정경태,공채,남,30,10.6,인하대학교,기타,79.78,학사,2012,경영지원,인력팀,No,No,93,32.6,16,96156424,일본,82,69,96,74,95,34,63.8,NA,NA
62,강교묵,공채,남,37,19.7,숭실대학교,기타,80.22,학사,2016,제조생산,기술팀,No,No,246,34.9,19,45145417,중국,84,98,68,7,6,13,44.5,NA,27
3021,여경모,공채,남,42,22.3,서강대학교,top8,71.78,학사,2014,연구개발,생산팀,No,No,28,50.3,13,74414341,베트남,78,97,95,16,16,39,41.8,NA,NA
3000,한규탁,산학,남,38,20.7,한양대학교,top8,68.22,학사,2014,경영지원,마케팅팀,No,No,306,64,12,87974202,대전(연구소),68,77,67,92,74,8,64.8,NA,NA
2973,조기수,공채,남,40,21.9,숭실대학교,기타,80,고졸,2014,경영지원,품질보증팀,No,No,29,51.5,23,61556772,베트남,87,90,89,26,74,39,53.2,NA,NA
529,이가선,공채,여,32,17.9,부산대학교,국립,77.56,박사,2011,제조생산,생산팀,Yes,No,303,62.4,12,58487848,일본,81,96,69,3,21,33,40.8,NA,11
2096,장기범,공채,남,44,24.4,한국외국어대학교,기타,73.95,석사,2011,연구개발,생산팀,No,No,154,72.1,7,93231911,베트남,82,94,91,21,23,59,52.5,NA,NA
3427,임대우,공채,남,41,34.9,경희대학교(국제캠퍼스),기타,78.89,석사,2015,제조생산,인력팀,No,Yes,197,45,13,101148404,일본,75,79,66,84,87,33,65.8,NA,3
2702,조경륜,인턴,남,40,21.6,서울시립대학교,기타,67.56,학사,2013,제조생산,품질보증팀,No,No,356,31.7,15,62031772,서울(본사),73,83,97,17,29,12,42.7,NA,17
4357,임경복,공채,남,38,19.4,충북대학교,수도권,62.89,학사,2011,마케팅영업,마케팅팀,No,No,13,42.8,18,91392952,일본,87,98,84,91,76,40,64.8,130902,NA
4012,조경백,공채,남,38,21.9,홍익대학교(조치원캠퍼스),기타,95.11,학사,2015,제조생산,기술팀,No,No,188,30.4,5,49574202,서울(본사),97,95,80,8,13,17,39.5,NA,5
3559,최기천,공채,남,40,18.3,영남대학교,기타,84,학사,2015,마케팅영업,기술팀,No,No,59,46.9,9,37431772,베트남,81,90,95,25,7,65,42.7,95340,NA
2041,정가금,공채,여,45,30.5,서울과학기술대학교,기타,83.78,고졸,2014,마케팅영업,기술팀,No,No,64,50.1,10,40987050,베트남,78,68,90,26,18,88,50.3,28619,NA
4694,박낙관,인턴,남,28,7.8,부산대학교,국립,99.56,박사,2014,경영지원,사업팀,No,No,153,39.7,18,97048854,서울(본사),78,74,96,8,44,8,43.2,NA,NA
4022,하가윤,공채,여,35,16.9,중앙대학교,기타,89.11,전문대,2015,제조생산,인력팀,No,No,159,49.8,5,57574202,미국,99,88,74,84,85,28,64.3,NA,6
394,주규만,공채,남,48,31.6,가천대학교-글로벌캠퍼스(구 경원대학교),기타,62,학사,2011,제조생산,생산팀,No,No,258,37.5,22,80493300,서울(본사),87,69,63,5,25,29,42.7,NA,0
1187,임경빈,공채,여,26,19.8,덕성여자대학교,기타,87.56,학사,2016,연구개발,사업팀,No,Yes,38,45.3,8,94002987,서울(본사),92,69,90,1,48,54,52.5,NA,NA
767,정기담,공채,남,31,12.5,경희대학교(국제캠퍼스),기타,80,고졸,2012,제조생산,생산팀,No,No,247,42.4,7,68947709,일본,82,97,82,19,27,28,42.4,NA,2
4649,최규광,공채,남,32,10.4,연세대학교(원주),수도권,66.98,전문대,2013,연구개발,기술팀,No,No,31,57,21,85001494,서울(본사),96,97,63,13,4,39,47.1,NA,NA
3399,윤건섭,공채,남,39,22.2,한양대학교(안산캠퍼스),기타,80.67,학사,2015,경영지원,마케팅팀,No,No,8,33.8,8,82127987,서울(본사),94,90,77,90,74,13,63.2,NA,NA
721,강경수,공채,남,47,30.1,경기대학교,기타,74.89,학사,2011,연구개발,사업팀,No,No,66,56.4,7,134033265,일본,92,100,65,23,32,17,50.6,NA,NA
1555,최근옥,해외,여,41,34.8,건국대학교,수도권,87.11,학사,2010,제조생산,품질보증팀,No,Yes,120,37.9,11,95684759,서울(본사),87,66,74,2,19,21,39.1,NA,3
3357,최기백,공채,남,43,24.7,연세대학교,top5,73.33,학사,2014,연구개발,마케팅팀,No,No,162,48.8,14,77118126,베트남,92,75,65,91,75,43,64.5,NA,NA
2080,최강필,산학,남,45,27.9,서강대학교,top8,70.67,석사,2013,연구개발,인력팀,No,No,371,79.4,10,109700696,대전(연구소),97,82,65,83,82,24,65.6,NA,NA
855,윤강만,공채,남,36,26.2,인하대학교,기타,73.56,학사,2012,마케팅영업,기술팀,No,Yes,364,25.4,22,102154481,대전(연구소),100,69,81,9,13,16,42.8,83451,NA
1955,박규로,공채,남,42,23.1,부경대학교,기타,74.22,석사,2011,제조생산,기술팀,No,No,207,32.8,13,71464341,서울(본사),85,73,90,20,0,5,40,NA,2
2631,이기영,산학,남,41,21.7,포항공과대학교,top5,68,학사,2013,경영지원,기술팀,No,No,156,31.4,12,72623057,베트남,91,71,64,23,12,48,43.5,NA,NA
5419,장건표,인턴,남,33,14.2,건국대학교,기타,90,고졸,2013,마케팅영업,생산팀,No,No,74,32.8,5,82780278,미국,92,90,71,16,28,19,39.5,72058,NA
4034,한강수,공채,남,41,32,성균관대학교,top8,77.33,학사,2015,제조생산,기술팀,No,Yes,237,36.8,6,106148404,미국,98,80,63,29,11,24,42.9,NA,14
3834,강길성,공채,남,36,19,연세대학교,top5,81.4,학사,2010,연구개발,신규서비스개발팀,No,No,110,44.4,15,105841633,서울(본사),89,82,98,32,47,75,52.5,NA,NA
3389,한가복,공채,남,39,18.8,경희대학교,기타,75.11,학사,2015,연구개발,기술팀,No,No,106,34.9,26,66002987,베트남,81,79,91,22,8,42,42.1,NA,NA
4887,최경빈,공채,여,28,11.2,서울시립대학교,기타,83.78,학사,2013,제조생산,생산팀,No,No,131,51.6,0,57847709,미국,78,80,82,17,25,19,47.6,NA,6
4851,장규태,공채,남,49,28.7,전북대학교,기타,70.22,박사,2011,제조생산,기술팀,No,No,156,48.6,19,112390835,서울(본사),95,98,90,25,10,21,42.4,NA,4
3326,이건도,공채,남,38,19.3,경희대학교(국제캠퍼스),기타,75.33,학사,2014,제조생산,기술팀,No,No,228,41.5,11,53699202,서울(본사),67,89,97,23,17,28,45.3,NA,6
781,박경모,공채,남,30,11.1,성균관대학교,top8,70.22,학사,2012,연구개발,사업팀,No,No,40,47.9,1,91606424,서울(본사),86,84,100,29,49,15,48,NA,NA
302,류강희,공채,여,45,42.4,충북대학교,기타,81.78,전문대,2015,마케팅영업,기술팀,No,Yes,33,37.9,12,109149898,일본,82,75,92,16,23,46,39,64162,NA
225,조경율,공채,남,45,25,한양대학교,top8,79.56,학사,2013,제조생산,기술팀,No,No,153,49.6,1,70338196,서울(본사),99,86,94,30,15,8,42.8,NA,4
5679,정규빈,공채,남,27,10.5,한양대학교,top8,90,석사,2016,제조생산,품질보증팀,No,No,269,63.6,9,30857570,대전(연구소),68,96,62,18,15,2,45.1,NA,19
1232,장규화,공채,여,30,14.9,이화여자대학교,기타,81.86,학사,2010,제조생산,마케팅팀,Yes,No,265,48.3,10,40880278,서울(본사),79,76,75,91,12,22,46.2,NA,8
730,정경화,공채,여,29,10.8,0,해외,89.11,학사,2012,연구개발,마케팅팀,No,No,78,80.9,4,82313994,대전(연구소),98,94,70,72,70,22,59.6,NA,NA
2971,임남이,공채,남,40,17.3,성균관대학교,top8,90.22,전문대,2014,제조생산,기술팀,No,No,178,38.5,5,71556772,일본,79,71,87,24,13,43,43.4,NA,2
1010,임남룡,공채,남,29,8.3,THE UNIVERSITY OF AUCKLAND,해외,75.78,전문대,2013,제조생산,마케팅팀,Yes,No,323,40.7,13,15915139,베트남,97,70,81,72,25,35,48.6,NA,28
726,한공민,공채,남,33,11.7,서울산업대학교,기타,85.11,학사,2012,제조생산,마케팅팀,No,No,214,44.1,22,30630278,베트남,78,66,77,74,72,52,68.3,NA,16
2733,윤기담,공채,남,41,20.4,연세대학교,top5,79.07,전문대,2013,경영지원,품질보증팀,No,No,55,60,10,108985557,일본,80,86,72,34,73,32,52.5,NA,NA
1616,임규빈,공채,남,44,24,영남대학교,기타,73.11,고졸,2011,연구개발,기술팀,No,No,114,55.5,12,129346911,일본,68,98,85,21,4,7,44.4,NA,NA
2064,하가광,인턴,남,41,23.9,성균관대학교,top8,74.67,학사,2011,연구개발,생산팀,No,No,28,67.6,10,110460557,서울(본사),82,94,70,11,23,22,48.2,NA,NA
2229,최강모,공채,남,35,16.9,서울시립대학교,기타,78.67,고졸,2016,제조생산,인력팀,No,No,212,37.5,8,42287848,서울(본사),98,78,88,70,73,30,62.6,NA,7
3422,조경복,공채,남,40,21.7,성균관대학교,top8,70.89,학사,2015,제조생산,마케팅팀,Yes,No,478,78.3,4,49431772,대전(연구소),67,93,66,90,14,22,45.8,NA,20
232,박기동,공채,남,36,22.9,INDIANA UNIVERSITY-PURDUE UNIVERSITY FORT WAYNE,해외,68,석사,2010,연구개발,마케팅팀,No,No,300,64.9,10,121291633,일본,82,71,92,68,71,42,62.2,NA,NA
2912,조기륭,공채,남,39,22.2,아주대학교,기타,80.22,학사,2014,연구개발,기술팀,No,No,163,83.5,9,95127987,대전(연구소),69,83,66,16,17,18,48.5,NA,NA
3291,임강태,공채,남,37,16.4,서울시립대학교,기타,82.6,석사,2010,제조생산,기술팀,No,No,250,60.7,3,67457917,서울(본사),99,66,100,28,13,26,46.9,NA,5
5002,조규로,공채,남,35,16.9,경북대학교,국립,89.33,석사,2016,연구개발,사업팀,No,No,158,37.7,13,82287848,중국,72,81,78,1,31,18,45,NA,NA
3927,전경태,공채,남,45,28,경희대학교,기타,73.78,학사,2015,제조생산,생산팀,No,No,202,36.2,22,34575696,베트남,86,66,68,32,27,37,49.6,NA,17
5596,류경도,인턴,남,27,7.4,연세대학교,top5,80.23,박사,2015,마케팅영업,금융팀,No,No,56,43.8,10,48857570,베트남,78,99,86,48,23,86,50.2,114260,NA
4409,장규건,공채,남,45,24.2,단국대학교,기타,80,고졸,2011,경영지원,사업팀,No,No,299,82,7,106175696,대전(연구소),70,89,87,32,73,37,57.8,NA,NA
592,강공명,공채,남,33,16.3,경북대학교,국립,80.67,고졸,2011,제조생산,기술팀,No,No,302,51.5,20,58611528,대전(연구소),82,97,66,3,3,3,39.6,NA,25
3850,하기문,공채,남,40,20.5,한양대학교,top8,76,석사,2015,제조생산,기술팀,No,No,157,68.8,10,52431772,서울(본사),99,97,95,17,17,40,49.5,NA,2
635,강강백,공채,남,45,35.4,부경대학교,기타,91.11,전문대,2015,연구개발,사업팀,No,Yes,90,39.8,4,131863544,서울(본사),82,91,94,39,50,20,50,NA,NA
925,이경숙,공채,여,28,10.9,한양대학교,top8,78.22,학사,2012,제조생산,생산팀,No,No,120,53.4,4,41410209,서울(본사),95,80,86,3,13,18,46.2,NA,3
2225,장기범,공채,남,45,38.4,고려대학교,top5,86,박사,2012,제조생산,기술팀,No,Yes,297,42.6,12,136013544,서울(본사),82,97,71,29,14,19,44.8,NA,4
5590,강낙균,공채,남,28,13.5,아주대학교,기타,78.89,박사,2015,마케팅영업,생산팀,No,No,64,45.6,6,75286354,중국,83,82,90,11,12,4,38.5,59812,NA
2732,조경무,공채,남,36,25.1,한양대학교,top8,89.78,학사,2015,경영지원,생산팀,No,Yes,90,43.4,19,124004481,일본,90,86,72,25,19,22,43,NA,NA
3141,임규탁,공채,남,46,25.1,한동대학교,수도권,80,석사,2014,제조생산,마케팅팀,No,No,182,50.3,14,40129481,베트남,98,84,85,91,73,56,69.4,NA,12
2005,박공민,공채,남,42,22.4,경희대학교,기타,86.44,학사,2012,연구개발,품질보증팀,No,No,28,39.7,14,108464341,중국,99,71,96,35,38,8,45.8,NA,NA
1181,윤경복,공채,남,40,23.5,경남대학교,기타,83.33,고졸,2011,제조생산,사업팀,Yes,No,339,38.8,16,71481772,일본,68,93,75,5,5,36,33.8,NA,2
5109,주경숙,공채,여,40,24.9,중앙대학교,기타,80,학사,2011,연구개발,생산팀,Yes,No,140,58.9,12,98218126,서울(본사),98,71,74,3,16,12,38.5,NA,NA
1419,한군모,공채,남,40,22.1,금오공과대학교,기타,93.56,학사,2011,제조생산,금융팀,No,No,215,46.5,25,69606772,서울(본사),87,75,75,26,37,71,58.8,NA,7
5291,윤가온,공채,여,35,13.6,한신대학교,기타,96.67,학사,2014,연구개발,기술팀,No,No,102,37.3,4,79824202,중국,92,83,62,28,12,2,36.9,NA,NA
75,박교묵,공채,남,30,11.3,고려대학교,top5,69.56,전문대,2011,제조생산,기술팀,No,No,303,39.3,9,37150174,대전(연구소),68,85,90,25,11,12,48.4,NA,9
4390,장경순,해외,여,32,18.5,부경대학교,수도권,80.67,석사,2011,마케팅영업,신규서비스개발팀,No,No,20,62.1,7,79600348,미국,85,95,62,49,34,69,56.1,54234,NA
3073,임건표,공채,남,35,17.1,동국대학교,기타,68.22,고졸,2012,제조생산,생산팀,No,No,249,56,11,58600348,서울(본사),69,87,98,7,25,29,50,NA,4
2966,장강길,공채,남,38,22.4,건국대학교,기타,72,고졸,2014,제조생산,품질보증팀,Yes,No,333,42.8,17,66574202,미국,88,75,62,46,23,46,44.3,NA,20
2175,정강태,공채,남,47,24.6,단국대학교(천안캠퍼스),기타,81.78,석사,2014,제조생산,품질보증팀,No,No,243,37.6,11,70195765,중국,77,79,64,14,61,1,47.6,NA,34
3362,김기남,공채,남,47,28.2,세종대학교,기타,85.11,전문대,2011,연구개발,사업팀,No,No,72,47.1,9,118633265,서울(본사),82,95,86,9,39,16,43.9,NA,NA
2550,강국도,공채,남,39,20,인천대학교,기타,78,고졸,2013,마케팅영업,사업팀,No,No,71,49.3,18,70602987,서울(본사),73,72,98,36,34,15,45.2,114880,NA
2336,윤경숙,산학,여,40,27.3,서강대학교,top8,75.78,학사,2012,제조생산,사업팀,No,No,129,57.2,11,57943126,서울(본사),73,83,77,50,42,27,58.1,NA,3
1788,정가설,공채,여,40,20.7,삼육대학교,기타,77.56,학사,2011,제조생산,생산팀,No,No,236,52.4,12,60893126,중국,83,87,82,20,23,2,45.9,NA,26
4576,윤경백,인턴,남,35,17.6,연세대학교,top5,84.42,박사,2012,제조생산,생산팀,No,No,348,51.1,17,88112848,대전(연구소),72,90,93,21,28,9,47.6,NA,19
5312,임감현,공채,남,33,11.2,건국대학교,기타,79.33,고졸,2010,경영지원,기술팀,No,No,110,41.1,19,91630278,서울(본사),75,94,64,28,7,24,41,NA,NA
4799,정국태,공채,남,34,17.3,아주대학교,기타,86.44,학사,2010,마케팅영업,기술팀,No,No,68,39.1,12,93959063,미국,95,72,71,26,9,32,40.5,96714,NA
2928,하국길,산학,남,46,24.4,한양대학교,top8,89.11,고졸,2012,경영지원,생산팀,Yes,No,153,34.9,12,98279481,중국,70,90,71,30,23,17,37,NA,NA
1111,임규탁,공채,남,46,29.8,성균관대학교,top8,67.33,고졸,2013,마케팅영업,생산팀,No,No,34,31.2,18,80604481,중국,98,79,62,9,25,3,40,103448,NA
4856,강국길,해외,남,36,14.7,포항공과대학교,top5,87.11,학사,2010,연구개발,기술팀,Yes,No,184,56.3,0,116766633,미국,78,99,98,21,25,17,41.5,NA,NA
2309,한가선,공채,여,40,22,숙명여자대학교,기타,75.81,학사,2012,마케팅영업,생산팀,No,No,93,82,8,67893126,대전(연구소),77,78,89,2,27,55,46.2,110182,NA
2683,한가실,공채,여,33,16.5,중앙대학교,수도권,93.95,고졸,2011,제조생산,인력팀,Yes,No,305,58.4,2,12716633,베트남,93,99,63,89,10,56,49.7,NA,15
507,이규경,인턴,남,37,15.6,육군3사관학교,기타,70.22,학사,2011,마케팅영업,기술팀,No,No,120,33.9,24,74435417,서울(본사),95,74,86,5,18,43,39.6,112688,NA
2688,정강길,공채,남,42,23.2,인하대학교,기타,74.44,학사,2013,제조생산,기술팀,No,No,251,47.5,9,80464341,일본,91,93,62,11,9,2,37.7,NA,9
2779,조규강,인턴,남,33,11.2,고려대학교,top5,86.22,학사,2016,경영지원,사업팀,No,No,46,40.8,12,84430278,일본,77,89,78,14,50,37,47.9,NA,NA
1289,박강린,공채,여,32,19.7,BRIGHAM YOUNG UNIVERSITY,수도권,89.78,학사,2010,마케팅영업,품질보증팀,Yes,No,246,62.1,3,73037848,미국,78,74,94,48,23,70,48.5,49376,NA
2783,조금주,공채,여,39,19.6,경북대학교,국립,74.89,학사,2014,마케팅영업,기술팀,No,No,108,49,13,59139341,서울(본사),69,74,67,19,14,70,49.7,42259,NA
3687,하경표,산학,남,41,24.9,한국외국어대학교,수도권,71.33,석사,2015,제조생산,기술팀,No,No,177,32.3,19,54985557,서울(본사),70,85,74,21,8,39,44,NA,4
2852,최군모,공채,남,39,17.1,동국대학교,기타,80,전문대,2014,제조생산,기술팀,No,No,362,26.5,27,55127987,대전(연구소),76,67,82,34,12,13,44.7,NA,11
5103,주경륜,공채,남,37,19.2,인하대학교,기타,66,석사,2011,경영지원,마케팅팀,No,No,303,48.5,1,114345417,미국,88,93,98,72,71,11,60.8,NA,NA
539,주경숙,공채,여,31,15.5,중앙대학교,기타,80,학사,2011,연구개발,생산팀,Yes,No,140,56.7,8,85359063,서울(본사),87,83,95,16,32,22,41.7,NA,NA
1606,강규태,산학,남,40,27.2,충북대학교,기타,70.22,학사,2011,마케팅영업,품질보증팀,No,No,13,50.8,23,94031772,일본,98,83,80,60,37,69,53.9,101939,NA
4079,한경주,공채,여,37,22.2,인하대학교,기타,80.44,학사,2015,연구개발,마케팅팀,No,No,56,71.7,2,80431772,대전(연구소),73,74,89,95,71,18,60.8,NA,NA
1891,주기남,공채,남,33,14.2,연세대학교,top5,67.11,학사,2012,연구개발,사업팀,No,No,108,57,10,115067778,미국,68,67,79,60,40,34,60.5,NA,NA
5586,장강미,인턴,여,28,11.5,덕성여자대학교,기타,87.11,전문대,2015,제조생산,품질보증팀,No,No,155,59.8,8,27572709,서울(본사),85,99,87,1,26,37,51.2,NA,3
1453,장규만,공채,남,42,20.2,전남대학교,국립,83.33,학사,2014,연구개발,마케팅팀,No,No,95,59.7,8,113589341,일본,93,81,83,89,76,24,62.8,NA,NA
1245,하국길,공채,남,46,26.6,한국기술교육대학교,기타,78,고졸,2014,제조생산,마케팅팀,No,No,163,40.8,20,40129481,베트남,97,71,69,92,73,46,66.7,NA,11
1567,하강규,공채,남,43,25.2,금오공과대학교,기타,81.33,학사,2011,연구개발,사업팀,No,No,28,46.9,21,112893126,중국,100,97,95,34,47,2,46.7,NA,NA
2291,최경태,공채,남,43,20.1,경희대학교(국제캠퍼스),기타,71.56,석사,2014,연구개발,마케팅팀,No,No,73,69.8,7,103843126,서울(본사),100,66,67,92,74,21,63.6,NA,NA
5666,강군길,공채,남,28,23.1,한양대학교,top8,84.89,전문대,2016,연구개발,마케팅팀,No,Yes,62,44.4,12,104574202,서울(본사),85,90,70,87,74,17,62.8,NA,NA
155,임경주,인턴,여,40,27.2,PURDUE UNIV.,해외,85.6,전문대,2012,마케팅영업,생산팀,Yes,No,161,74.8,5,30618126,베트남,79,74,98,21,9,87,45.7,70611,NA
1515,최경윤,공채,여,40,25.3,성균관대학교,top8,62.67,고졸,2011,경영지원,품질보증팀,Yes,No,170,52.8,15,83793126,서울(본사),84,74,82,77,19,51,48.4,NA,NA
4463,임경복,인턴,남,31,12.7,부산대학교,국립,88,학사,2012,마케팅영업,기술팀,No,No,119,68,15,60710209,서울(본사),91,100,74,24,5,69,48.2,98997,NA
4619,강경복,공채,남,33,15,SUNY BINGHAMTON대,수도권,72.09,고졸,2013,연구개발,마케팅팀,No,No,28,51.7,10,112680278,미국,91,78,65,89,74,28,63.7,NA,NA
3837,조귀선,공채,여,36,18.4,동국대학교,기타,90.44,학사,2015,연구개발,마케팅팀,No,No,24,46.2,7,54002987,베트남,67,75,63,93,73,51,64.6,NA,NA
1496,강경륜,공채,남,45,22.7,한양대학교(안산캠퍼스),기타,76.44,학사,2011,제조생산,마케팅팀,No,No,309,43.5,12,51844446,베트남,70,77,82,89,73,53,68.9,NA,16
708,한규강,공채,남,30,11.2,아주대학교,기타,87.11,학사,2012,마케팅영업,사업팀,No,No,113,42.4,15,77443924,일본,91,95,85,1,57,8,43.2,93713,NA
5127,정강태,인턴,남,30,12.1,중앙대학교,기타,92.44,학사,2014,제조생산,생산팀,No,No,324,47.1,10,43393924,대전(연구소),82,99,63,32,37,3,49.5,NA,41
1820,조경무,공채,남,30,11.2,고려대학교,top5,69.56,학사,2010,연구개발,생산팀,No,No,88,52.2,14,97343924,서울(본사),92,84,91,31,25,17,50.2,NA,NA
3431,강기담,산학,남,36,15.5,인하대학교,기타,87.56,석사,2015,연구개발,생산팀,No,No,49,46.4,13,86716633,서울(본사),76,69,94,15,25,15,48.4,NA,NA
4952,임기륭,공채,남,28,12.4,연세대학교,top5,76.67,학사,2015,연구개발,사업팀,No,No,96,56.3,11,96186354,미국,84,75,74,70,51,32,58,NA,NA
4699,하규광,인턴,남,33,25.5,서강대학교,top8,73.02,석사,2011,연구개발,생산팀,No,Yes,48,66.6,3,152099376,미국,71,98,62,19,25,18,49,NA,NA
5457,장건도,공채,남,28,8.9,고려대학교,top5,76,학사,2014,마케팅영업,마케팅팀,No,No,268,59.9,4,50686354,대전(연구소),71,78,80,89,73,3,61.8,33074,NA
1658,박가현,공채,여,41,33.8,건국대학교,기타,87.11,박사,2011,경영지원,사업팀,No,Yes,14,36.7,0,144953509,미국,92,85,77,42,43,15,46.5,NA,NA
3463,하강윤,공채,여,50,30.7,한양대학교(안산캠퍼스),기타,90.44,전문대,2014,제조생산,생산팀,No,No,120,54.1,11,83130974,미국,97,73,82,23,41,34,51.5,NA,7
1219,한경태,공채,남,33,16.6,고려대학교,top5,69.78,학사,2010,제조생산,기술팀,No,No,153,37.7,17,81480278,미국,87,69,70,24,18,21,44,NA,5
5413,박기룡,공채,남,34,15.8,건국대학교,기타,75.56,전문대,2016,마케팅영업,인력팀,No,No,77,54.4,1,70859063,미국,83,79,75,54,81,71,62.4,48787,NA
29,최경택,인턴,남,33,12.8,성균관대학교,top8,84.44,석사,2011,제조생산,기술팀,No,No,239,43.3,25,133319671,베트남,75,74,91,19,12,44,48,NA,27
3419,이경선,공채,여,38,19.6,영남대학교,기타,85.78,학사,2015,마케팅영업,품질보증팀,No,No,21,79.8,2,51860557,대전(연구소),100,90,75,55,33,55,50.2,133058,NA
2135,최경욱,산학,남,51,33.6,숭실대학교,기타,81.56,학사,2013,마케팅영업,생산팀,No,No,41,39,10,108323404,미국,88,94,85,23,23,20,41.6,82381,NA
5340,류강모,공채,남,39,21,한양대학교,top8,91.11,학사,2016,연구개발,사업팀,No,No,173,35.9,12,108002987,미국,78,74,76,18,25,23,46,NA,NA
1198,강경도,공채,남,38,19.1,아주대학교,기타,89.78,학사,2011,마케팅영업,생산팀,No,No,110,64.2,15,75984202,서울(본사),85,91,100,19,23,12,38.5,118690,NA
4448,한기동,공채,남,32,14.1,일리노이주립,해외,70.75,박사,2012,연구개발,품질보증팀,No,No,35,45.4,5,118313994,서울(본사),69,91,66,31,33,8,40.1,NA,NA
5189,하군길,인턴,남,34,16.2,광운대학교,기타,75.78,고졸,2010,마케팅영업,생산팀,No,No,26,26.2,16,48359063,베트남,78,66,70,13,24,26,40.8,16165,NA
810,조강옥,공채,여,29,15.1,성균관대학교,top8,84.44,학사,2012,연구개발,기술팀,No,No,5,54.1,11,58301494,베트남,79,90,80,1,15,39,45.1,NA,NA
5040,윤규경,공채,남,33,15.5,연세대학교(원주),기타,85.11,학사,2012,제조생산,생산팀,No,No,183,42.4,7,31830278,베트남,92,72,100,24,22,48,44.5,NA,22
4106,정건모,공채,남,32,10.6,한국기술교육대학교,기타,71.33,박사,2012,제조생산,기술팀,No,No,153,33.1,9,99988994,일본,98,75,86,1,11,24,40.5,NA,4
4424,정낙관,인턴,남,32,11.1,서강대학교,top8,82.79,고졸,2011,연구개발,품질보증팀,Yes,No,209,67.1,6,98001494,미국,85,96,97,48,18,41,44.8,NA,NA
4709,하남인,공채,남,30,11,한국외국어대학교,수도권,87.78,학사,2014,제조생산,생산팀,No,No,257,43.6,20,42418924,서울(본사),95,99,70,17,15,29,41,NA,4
426,한권희,공채,여,39,21.3,전북대학교,기타,76.44,학사,2012,마케팅영업,금융팀,Yes,No,184,68.3,6,32114341,베트남,77,67,93,46,14,86,51.8,65285,NA
5460,장강주,공채,여,36,18.6,성신여자대학교,기타,74.89,학사,2013,마케팅영업,신규서비스개발팀,No,No,176,54.4,1,79427987,미국,72,67,98,46,35,70,47,45115,NA
4820,강군길,공채,남,31,9.6,한양대학교,top8,82,박사,2011,제조생산,금융팀,No,No,179,44.4,11,87347709,서울(본사),76,82,97,41,24,80,52.7,NA,2
1630,임건모,공채,남,42,22.9,울산대학교,기타,77.56,석사,2011,마케팅영업,생산팀,No,No,119,65.8,12,82489341,서울(본사),94,79,90,23,39,73,51.5,109999,NA
4632,강가설,공채,여,29,14.9,인디아나주립대학,수도권,75.58,석사,2013,연구개발,생산팀,No,No,143,47.5,11,54501494,베트남,79,71,98,17,35,36,49.3,NA,NA
